country,year,positive,examined,long,lat,utm_x,utm_y
Mali,2004,0,70,-8.264,12.955,579.8291860076365,1432.2743011474877
Mali,2004,3,74,-7.944,12.679,614.6653714957658,1401.8699242448856
Mali,2004,0,69,-3.9405999,16.2705,1041.175969096582,1805.5639095745194
Mali,2004,10,68,-7.182,12.569,697.5112554472612,1390.1559078691569
Mali,2004,4,64,-10.898,12.433,293.6866116481596,1375.170590429488
Mali,2004,0,61,-8.2517996,11.6432,581.5561063792363,1287.2073602163946
Mali,2004,2,69,-10.712,13.138,314.4265714745029,1453.0270163255163
Mali,2004,2,66,-9.7014999,15.2432,424.6678033047286,1685.3465329109313
Mali,2004,0,61,-9.3917999,13.1957,457.5459238688874,1458.8107476311745
Mali,2004,0,66,-1.5721,15.2618,1299.5184833679702,1700.9803001158766
Mali,2004,0,71,0.46000001,15.6056,1518.0890516467643,1748.0698317762397
Mali,2004,1,68,-1.301,15.822,1326.5868955826074,1764.454162709144
Mali,2004,0,70,-11.853,14.394,192.32226523447474,1593.2068722853026
Mali,2004,0,60,-11.019,12.728,280.7796651464148,1407.907827894104
Mali,2004,0,70,-9.552,13.993,440.3864665639038,1547.0215806907997
Mali,2004,35,71,-3.1513,14.654,1130.7406981349504,1628.2222629345517
Mali,2004,0,70,-2.189,14.323,1236.0188560566553,1594.3088144831045
Mali,2004,0,70,-0.1145,16.6143,1450.927261299763,1858.09326347215
Mali,2004,5,75,-8.032,12.645,605.1229861479786,1398.07254886993
Mali,2004,0,68,-2.4438,16.7225,1200.1661649201476,1860.4197743874945
Mali,2004,1,69,-3.7291999,16.593201,1062.9064667393748,1841.962839575518
Mali,2004,1,69,-3.6127999,14.6517,1080.8427455635997,1626.7249415785693
Mali,2004,0,51,-2.0265999,14.8726,1251.758017389333,1656.0195551783702
Mali,2004,1,70,-5.689,10.97,861.9310410488581,1214.6540006614268
Mali,2004,1,97,-7.984,12.591,610.3593191824108,1392.1199707701562
Mali,2004,0,70,-8.194,10.787,588.1158691255788,1192.5440899705532
Mali,2004,0,80,-10.6564,13.7188,320.8864203677025,1517.241477706082
Mali,2004,0,67,-7.496,14.86,661.8122019220647,1643.3862149078263
Mali,2004,0,64,-9.4324999,14.6334,453.4243716172554,1617.8234646601898
Mali,2004,0,67,-6.121,10.257,815.3995475014647,1135.2394185221149
Mali,2004,3,68,-10.5717,13.299,329.7498332488568,1470.7386360195403
Mali,2004,1,70,-8.622,11.767,541.184013851415,1300.8168699380117
Mali,2004,0,59,-11.865,13.374,189.67102230864322,1480.2913314687257
Mali,2004,13,57,-8.056,14.678,601.6413606432086,1622.9240431522774
Mali,2004,93,98,-6.467,11.884,775.9402410259789,1314.983326996915
Mali,2004,0,72,-5.566,12.345,873.5446029526885,1367.098928627137
Mali,2004,94,100,-5.4851999,13.9703,879.8266147024736,1547.2568001781622
Mali,2004,0,68,-8.908,12.387,510.00052668821394,1369.3496564891518
Mali,2004,0,69,-5.9421,12.3538,832.5842133705135,1367.5767796095715
Mali,2004,0,68,-8.3269997,12.8006,573.040419263326,1415.180040318559
Mali,2004,0,66,-6.177,12.479,806.8692886515108,1381.1559490561647
Mali,2004,0,70,-3.3038001,14.231,1115.4153382770999,1580.8125236245892
Mali,2004,2,68,-3.782,15.397,1060.5959901023623,1709.0279343916427
Mali,2004,0,69,-7.9892998,14.625,608.8498266362924,1617.092431293038
Mali,2004,0,70,-8.725,13.476,529.7636203886933,1489.7923887111936
Mali,2004,2,68,-4.492,14.222,986.7962008692327,1576.9906036589955
Mali,2004,0,70,-4.867,14.395,945.894267900486,1595.4152435488538
Mali,2004,2,70,-3.864,15.784,1050.7280321916203,1751.7701781509165
Mali,2004,9,68,-9.9952002,12.7872,391.9829935652092,1413.8108090962953
Mali,2004,0,63,-10.6814,13.1592,317.76000845167016,1455.3500443724408
Mali,2004,0,68,-9.4973001,15.4227,446.6424189923486,1705.1409441276005
